game_id,points,assists,rebounds,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,steals,turnovers,blocks,plusMinus,player_id
12486,15,1,3,26,5,9,55.6,2,2,100.0,3,7,42.9,1,2,0,0,0,+4,1006
12498,15,2,6,19,5,6,83.3,2,2,100.0,3,4,75.0,2,4,0,1,0,-4,1006
12535,6,1,0,9,2,8,25.0,0,0,0,2,7,28.6,0,0,1,1,0,+8,1006
12591,3,1,0,5,1,2,50.0,0,0,0,1,2,50.0,0,0,1,0,0,+1,1006
12606,5,0,3,11,2,6,33.3,0,0,0,1,4,25.0,0,3,0,0,0,+17,1006
12649,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1006
12670,0,0,1,9,0,1,0,0,0,0,0,1,0,0,1,0,2,0,-5,1006
12678,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,0,1,0,-7,1006
12708,5,0,1,15,2,4,50.0,0,0,0,1,3,33.3,1,0,1,1,0,0,1006
12742,3,0,0,9,1,2,50.0,0,0,0,1,2,50.0,0,0,1,0,0,+7,1006
12798,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006
12877,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-4,1006
12910,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,+3,1006
12921,2,3,4,16,1,6,16.7,0,0,0,0,4,0,2,2,1,0,0,+7,1006
12980,5,1,1,7,2,3,66.7,0,0,0,1,2,50.0,0,1,0,0,0,-6,1006
12996,0,0,1,8,0,4,0,0,0,0,0,4,0,0,1,1,1,0,-4,1006
13027,3,0,3,15,1,7,14.3,0,0,0,1,6,16.7,0,3,0,0,0,-6,1006
13041,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006
13055,2,0,1,5,0,0,0,2,4,50.0,0,0,0,1,0,0,1,0,-1,1006
13076,9,1,1,17,3,5,60.0,1,2,50.0,2,3,66.7,0,1,1,0,0,-5,1006
13090,6,0,1,9,2,5,40.0,0,0,0,2,3,66.7,1,0,0,0,0,-1,1006
13119,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,-2,1006
13178,6,0,0,3,2,2,100.0,0,0,0,2,2,100.0,0,0,0,0,0,+2,1006
13194,6,1,1,8,2,5,40.0,0,0,0,2,5,40.0,0,1,1,0,0,+14,1006
13254,6,3,2,7,2,5,40.0,0,0,0,2,5,40.0,0,2,0,0,0,+11,1006
13328,2,0,0,13,1,2,50.0,0,0,0,0,0,0,0,0,0,1,0,+8,1006
13345,3,1,1,2,1,1,100.0,0,0,0,1,1,100.0,0,1,0,0,0,0,1006
13407,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,+5,1006
13420,8,2,4,19,3,8,37.5,0,0,0,2,6,33.3,2,2,1,0,0,+1,1006
13491,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006
13528,9,2,5,23,3,7,42.9,0,0,0,3,6,50.0,0,5,0,0,0,+7,1006
13532,6,2,2,24,2,8,25.0,0,0,0,2,8,25.0,0,2,2,1,0,+13,1006
13546,3,0,0,5,1,1,100.0,0,0,0,1,1,100.0,0,0,0,0,0,+10,1006
13559,3,1,2,16,1,1,100.0,1,1,100.0,0,0,0,0,2,0,0,0,+12,1006
13571,3,0,1,9,1,4,25.0,0,0,0,1,4,25.0,0,1,0,0,0,+1,1006
13582,6,3,0,11,2,2,100.0,0,0,0,2,2,100.0,0,0,0,0,0,0,1006
13635,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1006
13653,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+8,1006
13666,5,1,2,12,2,3,66.7,0,0,0,1,2,50.0,1,1,0,0,0,+6,1006
13682,5,2,2,12,2,4,50.0,0,0,0,1,2,50.0,0,2,0,1,0,+9,1006
13696,5,1,1,7,2,2,100.0,0,0,0,1,1,100.0,0,1,0,0,0,+1,1006
13715,9,2,2,13,3,5,60.0,0,0,0,3,4,75.0,1,1,0,0,0,+21,1006
13721,8,0,3,34,2,13,15.4,2,2,100.0,2,11,18.2,0,3,1,1,0,+9,1006
13734,26,5,5,37,10,13,76.9,0,0,0,6,8,75.0,1,4,0,1,1,+21,1006
12482,19,1,3,26,7,10,70.0,4,5,80.0,1,2,50.0,2,1,1,2,1,-3,75
12526,17,6,3,30,6,15,40.0,2,3,66.7,3,7,42.9,0,3,0,4,0,-1,75
12535,20,1,4,23,8,12,66.7,0,0,0,4,5,80.0,0,4,1,3,0,+18,75
12553,11,5,6,38,4,11,36.4,3,4,75.0,0,4,0,0,6,1,2,0,+8,75
12568,27,1,6,34,11,22,50.0,2,4,50.0,3,7,42.9,2,4,2,4,0,+3,75
12591,36,2,6,32,13,24,54.2,2,4,50.0,8,13,61.5,0,6,3,0,1,+32,75
12606,16,1,7,25,7,15,46.7,2,2,100.0,0,1,0,1,6,0,2,0,+22,75
12631,23,4,5,35,7,22,31.8,7,8,87.5,2,11,18.2,0,5,0,2,1,+6,75
12649,26,4,7,39,10,21,47.6,3,4,75.0,3,8,37.5,0,7,1,3,0,-16,75
12654,11,2,2,36,4,13,30.8,1,2,50.0,2,7,28.6,0,2,1,4,1,-3,75
12670,28,5,3,29,10,19,52.6,3,5,60.0,5,9,55.6,0,3,1,3,0,+6,75
12678,29,2,5,32,12,20,60.0,2,3,66.7,3,8,37.5,1,4,0,2,0,+9,75
12692,22,6,5,36,7,18,38.9,6,6,100.0,2,9,22.2,1,4,1,3,1,+17,75
12720,23,4,3,36,9,14,64.3,2,3,66.7,3,5,60.0,0,3,1,3,1,+4,75
12738,12,3,6,34,5,16,31.3,1,2,50.0,1,7,14.3,0,6,2,2,2,+1,75
12742,13,3,4,34,5,17,29.4,3,4,75.0,0,5,0,1,3,0,2,0,-23,75
12758,26,8,2,35,10,16,62.5,3,3,100.0,3,5,60.0,0,2,1,1,0,-3,75
12769,18,2,3,39,6,22,27.3,4,7,57.1,2,8,25.0,0,3,3,3,1,+1,75
12786,21,3,7,36,9,19,47.4,1,2,50.0,2,7,28.6,1,6,1,2,0,+5,75
12798,30,6,8,35,12,23,52.2,3,5,60.0,3,8,37.5,2,6,0,3,1,+22,75
12823,20,0,4,35,8,20,40.0,3,4,75.0,1,4,25.0,1,3,4,3,2,+10,75
13749,30,0,9,31,14,23,60.9,0,1,0,2,7,28.6,2,7,1,3,2,-10,75
13777,17,4,0,27,7,13,53.8,1,1,100.0,2,5,40.0,0,0,1,2,1,+18,75
12853,25,4,2,35,10,17,58.8,4,4,100.0,1,5,20.0,1,1,1,3,1,-6,75
12867,22,5,5,36,10,20,50.0,0,0,0,2,5,40.0,2,3,2,2,0,+4,75
12877,18,4,3,30,8,15,53.3,2,3,66.7,0,5,0,0,3,0,2,1,+20,75
12892,31,6,5,34,12,20,60.0,2,2,100.0,5,8,62.5,1,4,1,2,1,+11,75
12910,28,7,8,41,10,22,45.5,7,8,87.5,1,4,25.0,3,5,0,4,1,-3,75
12921,28,6,5,29,11,21,52.4,6,7,85.7,0,3,0,1,4,0,0,0,+22,75
12937,24,2,6,29,9,17,52.9,3,4,75.0,3,6,50.0,3,3,1,3,0,+29,75
12951,19,2,5,33,7,17,41.2,4,7,57.1,1,5,20.0,3,2,3,2,0,+9,75
12980,31,6,10,41,11,16,68.8,4,5,80.0,5,6,83.3,1,9,0,7,0,+12,75
12996,24,3,6,26,9,13,69.2,4,6,66.7,2,2,100.0,1,5,2,2,0,+26,75
13010,15,3,6,38,4,18,22.2,7,8,87.5,0,8,0,2,4,0,4,0,-1,75
13027,13,5,3,27,5,12,41.7,1,2,50.0,2,4,50.0,0,3,1,3,1,+18,75
13041,31,1,4,36,13,20,65.0,4,8,50.0,1,4,25.0,1,3,0,3,1,+7,75
13055,40,2,5,38,17,26,65.4,3,5,60.0,3,4,75.0,1,4,0,5,0,-1,75
13065,35,3,11,43,9,16,56.3,13,13,100.0,4,7,57.1,1,10,2,2,1,+10,75
13076,10,3,4,18,5,14,35.7,0,0,0,0,1,0,1,3,0,0,0,-17,75
13090,32,2,6,28,11,15,73.3,6,10,60.0,4,6,66.7,1,5,2,3,2,+19,75
13119,21,5,7,31,8,16,50.0,2,2,100.0,3,6,50.0,1,6,1,3,1,+12,75
13134,13,1,2,36,6,19,31.6,0,2,0,1,9,11.1,0,2,2,0,0,-2,75
13151,13,10,11,31,6,14,42.9,0,2,0,1,3,33.3,0,11,3,3,0,+4,75
13159,34,4,3,37,13,22,59.1,6,9,66.7,2,7,28.6,1,2,0,0,2,-6,75
13178,18,5,4,27,7,11,63.6,0,0,0,4,8,50.0,1,3,3,3,0,+22,75
13194,8,2,6,24,3,13,23.1,2,2,100.0,0,2,0,5,1,0,1,1,-18,75
13207,22,7,11,37,8,15,53.3,5,7,71.4,1,5,20.0,2,9,0,0,1,+6,75
13218,25,2,6,36,9,15,60.0,7,8,87.5,0,3,0,2,4,2,0,0,-6,75
13232,8,7,8,27,4,12,33.3,0,0,0,0,3,0,3,5,1,3,0,-20,75
13277,15,6,6,34,7,11,63.6,1,1,100.0,0,2,0,0,6,1,2,0,-3,75
13291,18,3,7,35,9,15,60.0,0,0,0,0,1,0,1,6,1,3,0,-15,75
13307,20,2,9,37,8,16,50.0,1,4,25.0,3,8,37.5,3,6,0,6,0,+3,75
13319,19,4,1,37,7,19,36.8,4,6,66.7,1,6,16.7,1,0,1,4,0,+9,75
13345,21,5,5,33,7,12,58.3,4,6,66.7,3,5,60.0,0,5,1,2,1,+19,75
13364,30,3,8,35,13,24,54.2,1,3,33.3,3,9,33.3,0,8,1,0,0,+15,75
13384,31,1,6,35,11,14,78.6,8,10,80.0,1,2,50.0,1,5,1,4,0,+25,75
