game_id,date,team_id,points,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,min
10980,9/30/22,11,96,29,79,36.7,31,40,77.5,7,26,26.9,10,52,62,18,27,6,17,3,9,240
10980,9/30/22,41,87,31,84,36.9,19,30,63.3,6,35,17.1,7,37,44,20,27,12,14,10,-9,240
10981,10/1/22,165,81,28,85,32.9,22,31,71,3,16,18.8,13,25,38,16,35,14,16,5,-40,240
10981,10/1/22,16,121,39,77,50.6,30,43,69.8,13,29,44.8,15,40,55,27,24,9,23,6,40,240
10982,10/2/22,19,107,38,77,49.4,21,29,72.4,10,28,35.7,10,31,41,25,19,13,22,4,5,240
10982,10/2/22,21,102,37,86,43,15,21,71.4,13,37,35.1,17,33,50,22,29,10,23,3,-5,240
10983,10/2/22,41,95,30,85,35.3,27,30,90,8,33,24.2,12,34,46,23,23,9,16,2,-9,240
10983,10/2/22,11,104,38,83,45.8,12,18,66.7,16,39,41,11,36,47,29,25,6,22,5,9,240
10984,10/2/22,5,93,35,101,34.7,18,28,64.3,5,33,15.2,16,27,43,13,19,13,13,2,-41,240
10984,10/2/22,2,134,48,84,57.1,16,20,80,22,47,46.8,8,48,56,41,29,4,23,3,41,240
10985,10/2/22,40,82,31,96,32.3,10,17,58.8,10,40,25,12,34,46,21,22,11,21,5,-32,240
10985,10/2/22,38,114,42,87,48.3,18,27,66.7,12,32,37.5,13,48,61,20,23,10,23,7,32,240
10986,10/2/22,31,96,33,93,35.5,19,29,65.5,11,42,26.2,17,27,44,21,25,10,18,8,-38,240
10986,10/2/22,14,134,53,97,54.6,12,22,54.5,16,36,44.4,15,45,60,32,27,10,20,6,38,240
10987,10/3/22,90,134,46,83,55.4,18,20,90,24,43,55.8,9,31,40,28,22,10,22,5,10,240
10987,10/3/22,28,124,48,98,49,19,23,82.6,9,34,26.5,13,23,36,29,17,13,16,3,-10,240
10988,10/3/22,4,108,36,78,46.2,25,34,73.5,11,33,33.3,8,35,43,25,21,9,27,5,-19,240
10988,10/3/22,27,127,44,108,73.5,24,25,96,15,44,34.1,22,34,56,26,25,20,16,5,19,240
10989,10/4/22,19,109,36,82,43.9,27,34,79.4,10,36,27.8,9,41,50,27,21,12,27,6,12,240
