Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,Game_IDs,game_id,date,team_id,points,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,min
2022-10-24,27,15,228.5,12.0,-750,550,226,14,7,7,11093,11093.0,2022-10-24,27.0,120.0,38.0,80.0,47.5,25.0,28.0,89.3,19.0,43.0,44.2,7.0,32.0,39.0,25.0,20.0,8.0,8.0,7.0,14.0,240.0
2022-10-24,27,15,228.5,12.0,-750,550,226,14,7,7,11093,11093.0,2022-10-24,15.0,106.0,38.0,90.0,89.3,18.0,23.0,78.3,12.0,44.0,27.3,14.0,33.0,47.0,27.0,23.0,3.0,13.0,4.0,-14.0,240.0
2022-10-24,20,38,216.5,3.5,-160,130,188,-8,7,7,11094,11094.0,2022-10-24,20.0,90.0,29.0,83.0,34.9,24.0,27.0,88.9,8.0,34.0,23.5,8.0,38.0,46.0,19.0,15.0,5.0,12.0,3.0,-8.0,240.0
2022-10-24,20,38,216.5,3.5,-160,130,188,-8,7,7,11094,11094.0,2022-10-24,38.0,98.0,34.0,86.0,88.9,16.0,20.0,80.0,14.0,32.0,43.8,10.0,42.0,52.0,22.0,22.0,6.0,12.0,6.0,8.0,240.0
2022-10-24,24,26,223.0,7.5,-295,245,217,13,7,7,11095,11095.0,2022-10-24,24.0,115.0,43.0,93.0,46.2,18.0,25.0,72.0,11.0,37.0,29.7,18.0,32.0,50.0,24.0,24.0,7.0,14.0,3.0,13.0,240.0
2022-10-24,24,26,223.0,7.5,-295,245,217,13,7,7,11095,11095.0,2022-10-24,26.0,102.0,36.0,86.0,72.0,23.0,27.0,85.2,7.0,35.0,20.0,13.0,28.0,41.0,14.0,23.0,6.0,13.0,4.0,-13.0,240.0
2022-10-24,14,40,233.5,-2.5,115,-135,222,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-24,19,4,235.0,1.5,-125,105,258,10,7,7,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-24,22,31,231.5,6.5,-265,210,221,-9,7,7,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-24,6,2,223.5,-8.5,285,-375,222,18,7,7,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-24,29,9,222.5,-4.5,165,-205,245,25,7,7,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-25,41,10,222.5,5.5,-235,190,219,21,7,7,11101,11101.0,2022-10-25,41.0,120.0,44.0,85.0,51.8,22.0,26.0,84.6,10.0,33.0,30.3,9.0,38.0,47.0,26.0,21.0,7.0,12.0,7.0,21.0,240.0
2022-10-25,41,10,222.5,5.5,-235,190,219,21,7,7,11101,11101.0,2022-10-25,10.0,99.0,36.0,88.0,84.6,19.0,25.0,76.0,8.0,28.0,28.6,11.0,30.0,41.0,12.0,26.0,6.0,13.0,1.0,-21.0,240.0
2022-10-25,23,8,223.5,-2.5,105,-135,224,2,7,7,11102,11102.0,2022-10-25,23.0,113.0,44.0,76.0,57.9,13.0,18.0,72.2,12.0,27.0,44.4,4.0,22.0,26.0,25.0,21.0,7.0,14.0,3.0,2.0,240.0
2022-10-25,23,8,223.5,-2.5,105,-135,224,2,7,7,11102,11102.0,2022-10-25,8.0,111.0,41.0,82.0,72.2,17.0,24.0,70.8,12.0,39.0,30.8,11.0,26.0,37.0,18.0,16.0,8.0,12.0,5.0,-2.0,240.0
