id,player_id,name,team_id
75,75,Jaylen Brown,2
882,882,Jayson Tatum,2
897,897,Derrick White,2
819,819,Luke Kornet,2
1006,1006,Svi Mykhailiuk,2
2110,2110,Oshae Brissett,2
970,970,Wenyen Gabriel,19
2844,2844,Neemias Queta,2
2635,2635,Payton Pritchard,2
2647,2647,Lamar Stevens,19
2656,2656,Xavier Tillman,19
2851,2851,Jaden Springer,27
2921,2921,DJ Steward,2
2812,2812,Sam Hauser,2
2788,2788,Dalano Banton,29
3429,3429,JD Davison,2
3943,3943,Jordan Walsh,2
3995,3995,Drew Peterson,20
248,248,Al Horford,2
242,242,Jrue Holiday,2
432,432,Kristaps Porzingis,2
851,851,Royce O'Neale,28
481,481,Ben Simmons,4
175,175,Dorian Finney-Smith,4
876,876,Dennis Smith Jr.,4
934,934,Keita Bates-Diop,28
940,940,Mikal Bridges,4
1038,1038,Lonnie Walker IV,4
1847,1847,Darius Bazley,27
1854,1854,Nic Claxton,4
1871,1871,Cameron Johnson,4
2325,2325,Armoni Brooks,4
2848,2848,Day'Ron Sharpe,4
2820,2820,Keon Johnson,28
2855,2855,Cam Thomas,4
2861,2861,Trendon Watford,4
3892,3892,Jacob Gilyard,19
3944,3944,Noah Clowney,4
3945,3945,Dariq Whitehead,4
3946,3946,Jalen Wilson,4
4041,4041,Harry III Giles,17
472,472,Dennis Schroder,4
142,142,Spencer Dinwiddie,17
382,382,Dejounte Murray,1
1858,1858,Bruno Fernando,1
1046,1046,Trae Young,1
1868,1868,De'Andre Hunter,1
1903,1903,Dylan Windler,24
2327,2327,Garrison Mathews,1
2629,2629,Onyeka Okongwu,1
2569,2569,Saddiq Bey,1
2589,2589,Trent Forrest,1
2608,2608,Vit Krejci,22
2819,2819,Jalen Johnson,1
3444,3444,AJ Griffin,1
3938,3938,Kobe Bufkin,1
3939,3939,Mouhamed Gueye,1
3941,3941,Seth Lundy,1
3942,3942,Miles Norris,1
365,365,Patty Mills,20
341,341,Wesley Matthews,1
92,92,Clint Capela,1
743,743,Bogdan Bogdanovic,1
254,254,RJ Hunter,5
458,458,Terry Rozier,20
850,850,Frank Ntilikina,5
880,880,Edmond Sumner,5
941,941,Miles Bridges,5
1879,1879,Cody Martin,5
1897,1897,P.J. Washington,8
1901,1901,Grant Williams,8
2482,2482,Marques Bolden,21
2566,2566,LaMelo Ball,5
2614,2614,Theo Maledon,28
2633,2633,Aleksej Pokusevski,25
2639,2639,Nick Richards,5
2831,2831,Tre Mann,25
2793,2793,James Bouknight,5
2856,2856,JT Thor,5
3506,3506,Mark Williams,5
3469,3469,Bryce McGowens,5
3947,3947,Amari Bailey,5
3948,3948,Leaky Black,5
3949,3949,Nathan Mensah,5
3950,3950,Brandon Miller,5
4042,4042,Nick Jr. Smith,5
227,227,Gordon Hayward,25
488,488,Ish Smith,5
52,52,Davis Bertans,25
123,123,Seth Curry,8
2739,2739,Vasilije Micic,25
281,281,Damian Jones,7
317,317,Caris LeVert,7
391,391,Georges Niang,7
840,840,Donovan Mitchell,7
727,727,Jarrett Allen,7
1025,1025,Zhaire Smith,7
2051,2051,Max Strus,7
1860,1860,Darius Garland,7
1870,1870,Ty Jerome,7
2392,2392,Dean Wade,7
2630,2630,Isaac Okoro,7
2623,2623,Sam Merrill,7
2800,2800,Sharife Cooper,7
2835,2835,Evan Mobley,7
3472,3472,Isaiah Mobley,7
3956,3956,Emoni Bates,7
3957,3957,Pete Nance,7
3958,3958,Justin Powell,7
4043,4043,Craig Jr. Porter,7
515,515,Tristan Thompson,7
373,373,Marcus Morris Sr.,27
631,631,Alex Caruso,6
765,765,Torrey Craig,6
949,949,Jevon Carter,6
1900,1900,Coby White,6
2404,2404,Javonte Green,6
2664,2664,Patrick Williams,6
2802,2802,Ayo Dosunmu,6
3081,3081,Carlik Jones,6
2853,2853,Terry Taylor,6
3461,3461,Justin Lewis,6
3494,3494,Dalen Terry,6
3452,3452,Quenton Jackson,15
3951,3951,Onuralp Bitim,6
3952,3952,Henri Drell,6
3953,3953,Max Heidegger,6
3954,3954,Julian Phillips,6
3955,3955,Adama Sanogo,6
3964,3964,Andrew Funk,9
136,136,DeMar DeRozan,6
534,534,Nikola Vucevic,6
147,147,Andre Drummond,6
308,308,Zach LaVine,6
246,246,Richaun Holmes,8
283,283,Derrick Jones Jr.,8
817,817,Maxi Kleber,8
963,963,Luka Doncic,8
1859,1859,Daniel Gafford,8
2593,2593,Josh Green,8
3398,3398,Brandon Williams,26
2795,2795,Greg Brown III,8
2862,2862,Joe Wieskamp,8
2890,2890,A.J. Lawson,8
3407,3407,Jaden Hardy,8
3959,3959,Dexter Dennis,8
3960,3960,OlivierMaxence Prosper,8
3961,3961,Jordan Walker,8
3988,3988,Alex Fudge,17
4044,4044,Dereck II Lively,8
4045,4045,Mike Jr. Miles,8
261,261,Kyrie Irving,8
374,374,Markieff Morris,8
215,215,Tim Hardaway Jr.,8
433,433,Dwight Powell,8
164,164,Dante Exum,8
845,845,Monte Morris,22
