Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away
10/24/22,27,15,228.5,12,-750,550,226,14,7,7
10/24/22,20,38,216.5,3.5,-160,130,188,-8,7,7
10/24/22,24,26,223,7.5,-295,245,217,13,7,7
10/24/22,14,40,233.5,-2.5,115,-135,222,6,7,7
10/24/22,19,4,235,1.5,-125,105,258,10,7,7
10/24/22,22,31,231.5,6.5,-265,210,221,-9,7,7
10/24/22,6,2,223.5,-8.5,285,-375,222,18,7,7
10/24/22,29,9,222.5,-4.5,165,-205,245,25,7,7
10/25/22,41,10,222.5,5.5,-235,190,219,21,7,7
10/25/22,23,8,223.5,-2.5,105,-135,224,2,7,7
10/25/22,25,16,217.5,-5.5,190,-225,202,14,7,7
10/25/22,28,11,227.5,1.5,-120,100,239,29,7,7
10/26/22,7,26,217.5,7.5,-390,295,195,11,7,2
10/26/22,10,1,238.5,-7.5,310,-410,231,-5,1,7
10/26/22,21,4,230.5,3,-205,165,209,11,7,2
10/26/22,24,5,224.5,7.5,-305,255,265,3,2,7
10/26/22,38,27,212.5,-1.5,-110,-120,228,10,2,2
10/26/22,6,15,233.5,6.5,-270,215,233,15,2,2
10/26/22,22,31,234.5,9.5,-435,350,256,12,2,2
10/26/22,40,14,230.5,10.5,-540,390,210,8,2,2
10/26/22,9,17,232.5,5.5,-220,180,209,11,2,7
10/26/22,29,20,222.5,-1.5,100,-130,217,-21,2,2
10/27/22,4,8,225.5,-2.5,125,-145,254,-4,1,2
10/27/22,25,16,219,-7,215,-255,228,8,2,2
10/27/22,30,19,235.5,1.5,-130,100,235,-15,7,3
10/27/22,11,20,227.5,5.5,-215,185,233,13,2,1
10/28/22,10,1,230,-5.5,180,-210,248,-24,2,2
10/28/22,26,5,220.5,-1.5,100,-120,206,20,2,2
10/28/22,41,15,228.5,4.5,-190,160,244,-10,3,2
10/28/22,38,27,214,4,-175,150,202,-22,2,2
10/28/22,2,7,218.5,6.5,-265,225,255,-9,4,2
10/28/22,21,24,223.5,6.5,-270,215,227,11,2,2
10/28/22,22,17,232.5,7.5,-305,240,213,9,2,2
10/28/22,31,6,230.5,-4,155,-180,253,5,2,2
10/28/22,9,40,232,7.5,-295,245,218,16,2,2
10/28/22,29,14,222.5,5.5,-205,165,236,14,2,2
10/28/22,28,23,225.5,8,-325,270,235,13,3,3
10/29/22,30,20,228,-4,150,-175,232,6,2,2
10/29/22,5,11,233.5,-10,390,-490,233,7,1,2
10/29/22,4,15,240,11,-580,440,241,-9,2,1
10/29/22,6,27,221.5,-2.5,115,-135,223,-5,1,1
10/29/22,21,1,228.5,5.5,-210,180,238,8,1,1
